metric,seed,naive_row,grouped_float32,naive_minus_grouped
test_benign_precision,42,0.9985522159471618,0.9928394414526045,0.0057127744945573156
test_benign_precision,123,0.9988866408878141,0.993750447248527,0.005136193639287079
test_benign_precision,2026,0.9987793640726159,0.9919884767392029,0.006790887333413043
test_benign_precision,3407,0.9990534841368733,0.9931603970306114,0.005893087106261907
test_benign_precision,8192,0.9987546401628548,0.9918814356288316,0.006873204534023181
test_benign_recall,42,0.9995209293969699,0.9992804978954564,0.00024043150151353831
test_benign_recall,123,0.9993173243906821,0.9991725725797748,0.0001447518109073398
test_benign_recall,2026,0.9995927899874244,0.9992804978954564,0.0003122920919680361
test_benign_recall,3407,0.9986825558416672,0.9994963485268195,-0.0008137926851522481
test_benign_recall,8192,0.998934067908258,0.9991845642815171,-0.00025049637325913476
test_benign_f1,42,0.9990363378443896,0.9960495568451438,0.002986780999245764
test_benign_f1,123,0.9991019362254979,0.9964541339536106,0.002647802271887323
test_benign_f1,2026,0.9991859114798454,0.9956211356372651,0.0035647758425803033
test_benign_f1,3407,0.9988679855533393,0.9963182997238724,0.002549685829466908
test_benign_f1,8192,0.9988443459776654,0.9955196062032546,0.003324739774410723
test_benign_false_negative_rate,42,0.0004790706030300962,0.0007195021045436345,-0.00024043150151353831
test_benign_false_negative_rate,123,0.0006826756093178954,0.0008274274202252352,-0.0001447518109073398
test_benign_false_negative_rate,2026,0.0004072100125755984,0.0007195021045436345,-0.0003122920919680361
test_benign_false_negative_rate,3407,0.0013174441583327923,0.0005036514731805442,0.0008137926851522481
test_benign_false_negative_rate,8192,0.0010659320917419945,0.0008154357184828598,0.00025049637325913476
test_gafgyt_precision,42,0.9997390697248009,0.9996848371384153,5.423258638559414e-05
test_gafgyt_precision,123,0.9997132373853831,0.9997060677031895,7.169682193608473e-06
test_gafgyt_precision,2026,0.9998283903484851,0.9996659090802148,0.00016248126827034248
test_gafgyt_precision,3407,0.9996310119204301,0.9997694502800708,-0.00013843835964066908
test_gafgyt_precision,8192,0.9996591827908463,0.9996282764023743,3.0906388472029533e-05
test_gafgyt_recall,42,0.9997226192267188,0.9983581605761236,0.0013644586505952017
test_gafgyt_recall,123,0.9997860877087408,0.9985930446138741,0.0011930430948666748
test_gafgyt_recall,2026,0.9997719836016248,0.9980034856791202,0.0017684979225045527
test_gafgyt_recall,3407,0.9998189972920114,0.9981937417496982,0.0016252555423131865
test_gafgyt_recall,8192,0.9997531781254702,0.9979964391579877,0.0017567389674824074
test_gafgyt_f1,42,0.9997308444080869,0.9990210584086147,0.0007097859994722455
test_gafgyt_f1,123,0.9997496612199374,0.9991492461898216,0.000600415030115764
test_gafgyt_f1,2026,0.9998001861794656,0.9988340056607145,0.0009661805187511918
test_gafgyt_f1,3407,0.9997249957691656,0.998980974667759,0.000744021101406589
test_gafgyt_f1,8192,0.9997061782487283,0.9988116912654018,0.0008944869833265034
test_gafgyt_false_negative_rate,42,0.0002773807732812106,0.0016418394238764122,-0.0013644586505952017
test_gafgyt_false_negative_rate,123,0.00021391229125922173,0.0014069553861258965,-0.0011930430948666748
test_gafgyt_false_negative_rate,2026,0.00022801639837521925,0.001996514320879772,-0.0017684979225045527
test_gafgyt_false_negative_rate,3407,0.00018100270798859786,0.0018062582503017843,-0.0016252555423131865
test_gafgyt_false_negative_rate,8192,0.0002468218745298456,0.002003560842012253,-0.0017567389674824074
test_mirai_precision,42,0.999974525538148,0.99978556566143,0.00018895987671807557
test_mirai_precision,123,0.9999708867001348,0.9998200915897362,0.00015079511039861604
test_mirai_precision,2026,0.9999818049490539,0.9996384158617332,0.00034338908732067797
test_mirai_precision,3407,0.9999727071752836,0.9996075581395348,0.00036514903574880186
test_mirai_precision,8192,0.9999636091697615,0.9996565771829153,0.000307031986846118
test_mirai_recall,42,0.9998398963692863,0.9998291719747538,1.0724394532424242e-05
test_mirai_recall,123,0.9998489931664859,0.999854614446599,-5.621280113055072e-06
test_mirai_recall,2026,0.9999017545902439,0.9998109987805787,9.075580966522168e-05
test_mirai_recall,3407,0.9998835609958446,0.9998600664048515,2.3494590993156095e-05
test_mirai_recall,8192,0.9998635480420054,0.9998037295029086,5.9818539096756496e-05
test_mirai_f1,42,0.9999072064220433,0.9998073683426226,9.983807942071099e-05
test_mirai_f1,123,0.9999099362184674,0.9998373527201622,7.258349830518984e-05
test_mirai_f1,2026,0.9999417781675406,0.9997246998728895,0.0002170782946511185
test_mirai_f1,3407,0.999928132098661,0.999733796327843,0.00019433577081806597
test_mirai_f1,8192,0.9999135761026097,0.9997301479279995,0.00018342817461014516
test_mirai_false_negative_rate,42,0.00016010363071372602,0.00017082802524615026,-1.0724394532424242e-05
test_mirai_false_negative_rate,123,0.00015100683351410016,0.0001453855534010451,5.621280113055072e-06
test_mirai_false_negative_rate,2026,9.824540975611473e-05,0.0001890012194213364,-9.075580966522168e-05
test_mirai_false_negative_rate,3407,0.00011643900415536645,0.00013993359514852255,-2.3494590993156095e-05
test_mirai_false_negative_rate,8192,0.00013645195799460996,0.00019627049709136646,-5.9818539096756496e-05
