arm,metric,sample_count,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
grouped_float32,test_balanced_accuracy,5,0.9991145289377013,9.504680546972172e-05,0.9991559434821112,0.9989949109808046,0.9992067438800826,0.9989965127412053,0.9992325451341972
grouped_float32,test_macro_precision,5,0.9973721964759594,0.00029541731328502636,0.9974366147508166,0.9970554297380403,0.9977588688471508,0.9970053874336073,0.9977390055183115
grouped_float32,test_macro_recall,5,0.9991145289377013,9.504680546972172e-05,0.9991559434821112,0.9989949109808046,0.9992067438800826,0.9989965127412053,0.9992325451341972
grouped_float32,test_macro_f1,5,0.9982395382497984,0.00019492762791330234,0.9982926611987937,0.9980204817988853,0.9984802442878649,0.9979975036319632,0.9984815728676336
grouped_float32,test_weighted_f1,5,0.9991451665416665,0.00011043338499328786,0.9991624041201195,0.9990296088826435,0.999294508559631,0.9990080453833206,0.9992822877000125
grouped_float32,test_mcc,5,0.9984800397966925,0.0001963179237141064,0.99851089455968,0.9982745513637811,0.9987454820965255,0.9982362788986147,0.9987238006947704
grouped_float32,test_benign_precision,5,0.9927240396199556,0.0007918762892968135,0.9928394414526045,0.9918814356288316,0.993750447248527,0.9917407953405045,0.9937072838994067
grouped_float32,test_benign_recall,5,0.9992828962358049,0.00012982090252163084,0.9992804978954564,0.9991725725797748,0.9994963485268195,0.9991217022949295,0.9994440901766803
grouped_float32,test_benign_f1,5,0.9959925464726294,0.00041353563114032666,0.9960495568451438,0.9955196062032546,0.9964541339536106,0.995479074167468,0.9965060187777908
grouped_float32,test_benign_false_negative_rate,5,0.0007171037641951816,0.00012982090252163086,0.0007195021045436345,0.0005036514731805442,0.0008274274202252352,0.0005559098233197523,0.0008782977050706109
grouped_float32,test_gafgyt_precision,5,0.9996909081208528,5.240044067419277e-05,0.9996848371384153,0.9996282764023743,0.9997694502800708,0.9996258443801777,0.999755971861528
grouped_float32,test_gafgyt_recall,5,0.9982289743553607,0.00025268326537423324,0.9981937417496982,0.9979964391579877,0.9985930446138741,0.997915226641797,0.9985427220689245
grouped_float32,test_gafgyt_f1,5,0.9989593952384623,0.00013950843336486612,0.998980974667759,0.9988116912654018,0.9991492461898216,0.9987861726393074,0.9991326178376173
grouped_float32,test_gafgyt_false_negative_rate,5,0.0017710256446392236,0.00025268326537423324,0.0018062582503017843,0.0014069553861258965,0.002003560842012253,0.0014572779310754705,0.0020847733582029767
grouped_float32,test_mirai_precision,5,0.9997016416870699,9.480722724959257e-05,0.9996565771829153,0.9996075581395348,0.9998200915897362,0.9995839229662246,0.9998193604079152
grouped_float32,test_mirai_recall,5,0.9998317162219383,2.5233923476599387e-05,0.9998291719747538,0.9998037295029086,0.9998600664048515,0.9998003841676241,0.9998630482762526
grouped_float32,test_mirai_f1,5,0.9997666730383032,5.202987989983153e-05,0.999733796327843,0.9997246998728895,0.9998373527201622,0.9997020694096007,0.9998312766670058
grouped_float32,test_mirai_false_negative_rate,5,0.00016828377806168415,2.5233923476599387e-05,0.00017082802524615026,0.00013993359514852255,0.00019627049709136646,0.0001369517237473619,0.00019961583237600638
