Model,Varyant,Macro F1 Ortalama,Macro F1 SS,Macro F1 %95 GA Alt,Macro F1 %95 GA Üst,Macro F1 Ortalama ± SS,Macro F1 Ortalama Rank,MCC Ortalama,MCC SS,Dengeli Doğruluk Ortalama,Dengeli Doğruluk SS
Compact-DNN,QAT,0.9918457718924985,0.002949648688182,0.9881832993090336,0.995508244475963,0.991846 ± 0.002950,1.0,0.9942591150772933,0.0020184235679832,0.9916555872761168,0.0070666323043013
Compact-DNN,P25-QAT,0.9912921740239392,0.0031559828437366,0.9873735037479224,0.9952108442999557,0.991292 ± 0.003156,2.6,0.993871186482755,0.002159971544271,0.990447659565991,0.0071739225776372
Compact-DNN,P50-QAT,0.9874837593261372,0.0043063661897589,0.9821366994652316,0.9928308191870427,0.987484 ± 0.004306,5.0,0.991271283387141,0.0028641886606814,0.9818062681894544,0.009784583030503
Compact-DNN,P75-QAT,0.9782200583342872,0.0013037898219746,0.9766011894511168,0.9798389272174576,0.978220 ± 0.001304,9.0,0.9851162912613398,0.0008296939658013,0.9648443095174336,0.0034368357254868
Tiny-1D-CNN,B0,0.9175942068925638,0.0235526722811602,0.8883497016595553,0.9468387121255722,0.917594 ± 0.023553,3.0,0.9333076726970748,0.018376355360513,0.9087029349546676,0.0356384749055449
Tiny-1D-CNN,P25,0.8871485959758079,0.0951537988034336,0.7689995497092599,1.0052976422423558,0.887149 ± 0.095154,3.8,0.9222139190326905,0.0435590024889512,0.8695856186113812,0.0948879515079789
Tiny-1D-CNN,P50,0.6151127616035036,0.1103247730943842,0.4781264627422074,0.7520990604647998,0.615113 ± 0.110325,7.8,0.7453925692944547,0.204157355105514,0.6201033630651207,0.103813043250478
Tiny-1D-CNN,P75,0.4881338308972914,0.1905223127561596,0.2515691342934502,0.7246985275011326,0.488134 ± 0.190522,9.7,0.490419300437334,0.4372182230045677,0.514464132692871,0.1660418833677921
Tiny-1D-CNN,DQ,0.8845267129319518,0.0267215589526159,0.8513475152046092,0.9177059106592944,0.884527 ± 0.026722,5.2,0.903313138438698,0.024600512409174,0.8749845005249867,0.0372047945545217
Tiny-1D-CNN,PTQ,0.892829380031247,0.0204482531768659,0.8674395202353767,0.9182192398271172,0.892829 ± 0.020448,4.6,0.8959858033366119,0.0291509379299131,0.895216138808736,0.0408227972742338
Tiny-1D-CNN,QAT,0.932388997535502,0.0331473535462531,0.8912311220013875,0.9735468730696164,0.932389 ± 0.033147,1.4,0.9440104323601652,0.0246492684881989,0.919557944519146,0.0422380700665415
Tiny-1D-CNN,P25-QAT,0.9009387883828296,0.0865034731214482,0.7935305400883402,1.0083470366773186,0.900939 ± 0.086503,3.0,0.9278219901807208,0.0422325914141672,0.8876276903282629,0.0911824321120264
Tiny-1D-CNN,P50-QAT,0.6530417199874782,0.0528358173405983,0.5874373877799871,0.7186460521949692,0.653042 ± 0.052836,7.2,0.840666593534704,0.0296717263835865,0.6634231029949834,0.033829932224777
Tiny-1D-CNN,P75-QAT,0.4917683388804431,0.193576195416184,0.2514117461229109,0.7321249316379753,0.491768 ± 0.193576,9.3,0.497297609868137,0.4487684514787604,0.5190736621952521,0.1700705107393011
