endpoint_class,architecture,metric,reference_variant,candidate_variant,mean_raw_delta_candidate_minus_B0,mean_improvement_delta,paired_rank_biserial_improvement,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,all_checks_passed
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P25-QAT,0.09332499999999987,-0.09332499999999987,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P50-QAT,0.11114299999999992,-0.11114299999999992,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,PTQ,0.10477999999999987,-0.10477999999999987,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,FP32-FT,-0.003426000000000004,0.003426000000000004,0.4666666666666667,0.4375,0.75,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P25-noFT,-0.010312999999999994,0.010312999999999994,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P25-FP32-FT,-0.004480999999999999,0.004480999999999999,0.4666666666666667,0.375,0.75,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P50-noFT,-0.013046999999999998,0.013046999999999998,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P50-FP32-FT,-0.010475000000000002,0.010475000000000002,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,DQ,0.20253599999999983,-0.20253599999999983,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,QAT,0.1961009999999998,-0.1961009999999998,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P25-QAT,0.2281359999999998,-0.2281359999999998,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,P50-QAT,0.21352899999999977,-0.21352899999999977,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_32_p95_ms,B0,PTQ,0.21027499999999993,-0.21027499999999993,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,FP32-FT,-32768.0,32768.0,0.4666666666666667,0.375,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P25-noFT,-726630.4,726630.4,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P25-FP32-FT,-697139.2,697139.2,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P50-noFT,-711065.6,711065.6,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P50-FP32-FT,-783155.2,783155.2,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,DQ,3931340.8,-3931340.8,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,QAT,3209625.6,-3209625.6,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P25-QAT,3064627.2,-3064627.2,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,P50-QAT,3028582.4,-3028582.4,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,B0,PTQ,3216179.2,-3216179.2,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,FP32-FT,1.5816121888057033e-05,1.5816121888057033e-05,0.6,0.3125,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P25-noFT,-0.0004299064427210064,-0.0004299064427210064,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P25-FP32-FT,-8.332851203847191e-05,-8.332851203847191e-05,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P50-noFT,-0.08101426822651847,-0.08101426822651847,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P50-FP32-FT,-0.00045681955734928615,-0.00045681955734928615,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,DQ,-0.09383850803015263,-0.09383850803015263,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,QAT,-0.0011534937232948294,-0.0011534937232948294,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P25-QAT,-0.0010166886493137683,-0.0010166886493137683,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,P50-QAT,-0.0016363633041568183,-0.0016363633041568183,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,B0,PTQ,-0.003864105878139279,-0.003864105878139279,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,FP32-FT,0.001079999999999999,-0.001079999999999999,-0.06666666666666667,0.75,1.0,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P25-noFT,0.0020199999999999997,-0.0020199999999999997,-0.3333333333333333,0.5625,1.0,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P25-FP32-FT,0.0013999999999999998,-0.0013999999999999998,-0.2,0.625,1.0,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P50-noFT,0.0007699999999999999,-0.0007699999999999999,-0.06666666666666667,0.75,1.0,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P50-FP32-FT,-0.0006400000000000003,0.0006400000000000003,0.06666666666666667,0.875,1.0,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,DQ,0.12094,-0.12094,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,QAT,0.09689,-0.09689,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P25-QAT,0.09698,-0.09698,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,P50-QAT,0.10291000000000002,-0.10291000000000002,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_1_median_ms,B0,PTQ,0.09901000000000001,-0.09901000000000001,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,FP32-FT,-12804.785090383468,-12804.785090383468,-0.3333333333333333,0.4375,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P25-noFT,33832.322839603454,33832.322839603454,0.7333333333333333,0.1875,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P25-FP32-FT,41353.78220101663,41353.78220101663,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P50-noFT,108948.565988694,108948.565988694,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P50-FP32-FT,133027.37416553282,133027.37416553282,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,DQ,-417954.53973267303,-417954.53973267303,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,QAT,-422416.2870683499,-422416.2870683499,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P25-QAT,-415629.3759795795,-415629.3759795795,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,P50-QAT,-417169.3000105015,-417169.3000105015,-1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,batch_32_samples_per_second,B0,PTQ,-419285.62476309796,-419285.62476309796,-1.0,0.0625,0.625,False,True
