architecture,variant,seed,configuration_id,source_checkpoint_policy,train_split_only_for_updates,validation_only_for_selection,test_evaluation_count,status
compact_dnn,P50-noFT,3407,compact_dnn__p50_noft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-noFT,8192,compact_dnn__p50_noft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50,42,compact_dnn__p50__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50,123,compact_dnn__p50__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50,2026,compact_dnn__p50__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50,3407,compact_dnn__p50__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50,8192,compact_dnn__p50__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,DQ,42,compact_dnn__dq__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,DQ,123,compact_dnn__dq__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,DQ,2026,compact_dnn__dq__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,DQ,3407,compact_dnn__dq__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,DQ,8192,compact_dnn__dq__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,PTQ,42,compact_dnn__ptq__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,PTQ,123,compact_dnn__ptq__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,PTQ,2026,compact_dnn__ptq__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,PTQ,3407,compact_dnn__ptq__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,PTQ,8192,compact_dnn__ptq__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,QAT,42,compact_dnn__qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,QAT,123,compact_dnn__qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,QAT,2026,compact_dnn__qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,QAT,3407,compact_dnn__qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,QAT,8192,compact_dnn__qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-QAT,42,compact_dnn__p25_qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-QAT,123,compact_dnn__p25_qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-QAT,2026,compact_dnn__p25_qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-QAT,3407,compact_dnn__p25_qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-QAT,8192,compact_dnn__p25_qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-QAT,42,compact_dnn__p50_qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-QAT,123,compact_dnn__p50_qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-QAT,2026,compact_dnn__p50_qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-QAT,3407,compact_dnn__p50_qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-QAT,8192,compact_dnn__p50_qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
