relative_path,line_number,keywords,code
src\models\nbaiot_models.py,6,compact,- compact_dnn
src\models\nbaiot_models.py,10,batch_size,"- [batch_size, input_features] biçiminde float32 girdi kabul eder."
src\models\nbaiot_models.py,12,CrossEntropyLoss,- CrossEntropyLoss ile doğrudan kullanılabilir.
src\models\nbaiot_models.py,83,TINYML,# TINYML MLP
src\models\nbaiot_models.py,86,TinyML,class TinyMLMLP(nn.Module):
src\models\nbaiot_models.py,88,TinyML,Küçük tam bağlantılı TinyML sınıflandırıcısı.
src\models\nbaiot_models.py,99,tinyml,"registry_name = ""tinyml_mlp"""
src\models\nbaiot_models.py,116,TinyML,"""TinyMLMLP için iki gizli katman boyutu gerekir."""
src\models\nbaiot_models.py,181,COMPACT,# COMPACT DNN
src\models\nbaiot_models.py,184,Compact,class CompactDNN(nn.Module):
src\models\nbaiot_models.py,204,compact,"registry_name = ""compact_dnn"""
src\models\nbaiot_models.py,226,Compact,"""CompactDNN için üç gizli katman boyutu gerekir."""
src\models\nbaiot_models.py,480,tinyml,"""tinyml_mlp"": ModelSpec("
src\models\nbaiot_models.py,481,tinyml,"registry_name=""tinyml_mlp"","
src\models\nbaiot_models.py,482,TinyML,"display_name=""TinyML-MLP"","
src\models\nbaiot_models.py,497,compact,"""compact_dnn"": ModelSpec("
src\models\nbaiot_models.py,498,compact,"registry_name=""compact_dnn"","
src\models\nbaiot_models.py,499,Compact,"display_name=""Compact-DNN"","
src\models\nbaiot_models.py,502,compact,"""Higher-capacity three-hidden-layer compact DNN."""
src\models\nbaiot_models.py,520,compact,"""Order-sensitive compact 1D convolutional classifier."""
src\models\nbaiot_models.py,549,tinyml|TinyML,"""tinyml_mlp"": TinyMLMLP,"
src\models\nbaiot_models.py,550,Compact|compact,"""compact_dnn"": CompactDNN,"
src\training\baseline_trainer.py,32,AdamW,from torch.optim import AdamW
src\training\baseline_trainer.py,35,dataloader,"create_nbaiot_dataloader,"
src\training\baseline_trainer.py,309,macro_f1,macro_f1 = float(
src\training\baseline_trainer.py,406,macro_f1,"""macro_f1"": macro_f1,"
src\training\baseline_trainer.py,421,AdamW,"optimizer: AdamW | None,"
src\training\baseline_trainer.py,522,batch_size,batch_size = int(
src\training\baseline_trainer.py,528,batch_size,) * batch_size
src\training\baseline_trainer.py,530,batch_size,total_samples += batch_size
src\training\baseline_trainer.py,659,batch_size,batch_size = int(
src\training\baseline_trainer.py,660,batch_size,"data_config[""batch_size""]"
src\training\baseline_trainer.py,670,epochs,maximum_epochs = int(
src\training\baseline_trainer.py,671,epochs,"training_config[""max_epochs""]"
src\training\baseline_trainer.py,674,learning_rate,learning_rate = float(
src\training\baseline_trainer.py,675,learning_rate,"training_config[""learning_rate""]"
src\training\baseline_trainer.py,678,weight_decay,weight_decay = float(
src\training\baseline_trainer.py,679,weight_decay,"training_config[""weight_decay""]"
src\training\baseline_trainer.py,689,patience,patience = int(
src\training\baseline_trainer.py,691,patience,"""patience"","
src\training\baseline_trainer.py,692,epochs,"maximum_epochs,"
src\training\baseline_trainer.py,764,epochs,if maximum_epochs <= 0:
src\training\baseline_trainer.py,766,epochs,"""max_epochs sıfırdan büyük olmalıdır."""
src\training\baseline_trainer.py,769,learning_rate,if learning_rate <= 0:
src\training\baseline_trainer.py,771,learning_rate,"""learning_rate sıfırdan büyük olmalıdır."""
src\training\baseline_trainer.py,774,weight_decay,if weight_decay < 0:
src\training\baseline_trainer.py,776,weight_decay,"""weight_decay negatif olamaz."""
src\training\baseline_trainer.py,779,patience,if patience <= 0:
src\training\baseline_trainer.py,781,patience,"""patience sıfırdan büyük olmalıdır."""
src\training\baseline_trainer.py,801,dataloader,create_nbaiot_dataloader(
src\training\baseline_trainer.py,804,batch_size,"batch_size=batch_size,"
src\training\baseline_trainer.py,814,dataloader,create_nbaiot_dataloader(
src\training\baseline_trainer.py,817,batch_size,"batch_size=batch_size,"
src\training\baseline_trainer.py,832,class_weight,class_weights = torch.as_tensor(
src\training\baseline_trainer.py,833,class_weight,"assets.class_weights,"
src\training\baseline_trainer.py,837,CrossEntropyLoss,criterion = nn.CrossEntropyLoss(
src\training\baseline_trainer.py,838,class_weight,weight=class_weights
src\training\baseline_trainer.py,841,AdamW,optimizer = AdamW(
src\training\baseline_trainer.py,843,learning_rate,"lr=learning_rate,"
src\training\baseline_trainer.py,844,weight_decay,"weight_decay=weight_decay,"
src\training\baseline_trainer.py,865,batch_size,"print(f""Batch boyutu    : {batch_size:,}"")"
src\training\baseline_trainer.py,866,epochs,"print(f""Epoch           : {maximum_epochs}"")"
src\training\baseline_trainer.py,867,learning_rate,"print(f""Öğrenme oranı   : {learning_rate}"")"
src\training\baseline_trainer.py,868,weight_decay,"print(f""Weight decay    : {weight_decay}"")"
src\training\baseline_trainer.py,878,macro_f1,best_validation_macro_f1 = (
src\training\baseline_trainer.py,898,epochs,epochs_without_improvement = 0
src\training\baseline_trainer.py,906,epochs,"maximum_epochs + 1,"
src\training\baseline_trainer.py,934,macro_f1,current_validation_macro_f1 = float(
src\training\baseline_trainer.py,936,macro_f1,"""macro_f1"""
src\training\baseline_trainer.py,941,macro_f1,current_validation_macro_f1
src\training\baseline_trainer.py,943,macro_f1,best_validation_macro_f1
src\training\baseline_trainer.py,949,macro_f1,best_validation_macro_f1 = (
src\training\baseline_trainer.py,950,macro_f1,current_validation_macro_f1
src\training\baseline_trainer.py,975,epochs,epochs_without_improvement = 0
src\training\baseline_trainer.py,978,epochs,epochs_without_improvement += 1
src\training\baseline_trainer.py,983,learning_rate,"""learning_rate"": float("
src\training\baseline_trainer.py,994,macro_f1,"""train_macro_f1"": float("
src\training\baseline_trainer.py,995,macro_f1,"train_metrics[""macro_f1""]"
src\training\baseline_trainer.py,1010,macro_f1,"""validation_macro_f1"": float("
src\training\baseline_trainer.py,1012,macro_f1,"""macro_f1"""
src\training\baseline_trainer.py,1052,epochs,"f""Epoch {epoch:02d}/{maximum_epochs:02d} | """
src\training\baseline_trainer.py,1054,macro_f1,"f""train_macro_f1={train_metrics['macro_f1']:.6f} | """
src\training\baseline_trainer.py,1056,macro_f1,"f""val_macro_f1={validation_metrics['macro_f1']:.6f} | """
src\training\baseline_trainer.py,1057,macro_f1,"f""best={best_validation_macro_f1:.6f}"""
src\training\baseline_trainer.py,1061,epochs,epochs_without_improvement
src\training\baseline_trainer.py,1062,patience,>= patience
src\training\baseline_trainer.py,1139,class_weight,"""class_weight_scheme"": ("
src\training\baseline_trainer.py,1142,class_weight,"""class_weights"": ("
src\training\baseline_trainer.py,1143,class_weight,assets.class_weights.tolist()
src\training\baseline_trainer.py,1148,macro_f1,"""best_validation_macro_f1"": float("
src\training\baseline_trainer.py,1149,macro_f1,best_validation_macro_f1
src\training\baseline_trainer.py,1202,macro_f1,"""macro_f1"""
src\training\baseline_trainer.py,1219,class_weight,"""class_weight_scheme"": ("
src\training\baseline_trainer.py,1225,macro_f1,"""best_validation_macro_f1"": float("
src\training\baseline_trainer.py,1226,macro_f1,best_validation_macro_f1
src\training\baseline_trainer.py,1228,epochs,"""epochs_completed"": int("
src\training\baseline_trainer.py,1269,macro_f1,"f""{best_validation_macro_f1:.6f}"""
scripts\07_build_primary_split_index.py,533,batch_size,if args.batch_size <= 0:
scripts\07_build_primary_split_index.py,616,batch_size,"print(f""Batch boyutu        : {args.batch_size:,}"")"
scripts\07_build_primary_split_index.py,692,batch_size,args.batch_size
