architecture,variant,seed,representation,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,float_parameter_count,float_linear_macs_per_sample,state_size_ratio_vs_float,test_evaluation_count,test_used_for_selection,fragility_gate_triggered,metrics_path,metrics_sha256,run_directory
compact_dnn,P50-noFT,2026,float32,0.9950542547365536,0.9969472506428256,0.9967720027554137,0.0011272108704117878,0.003467733411387841,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_2026\metrics.json,c89d4d8baf8c37a78cff40f1d872eea0a099465ce6f73d61d2965a09ad688cd9,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_2026
compact_dnn,P50-noFT,3407,float32,0.6777391690694655,0.8452027455916685,0.7764288173510887,0.0004508843481646485,0.00013009081965342784,10083,9968,1.0,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_3407\metrics.json,0d688ac591f8db56b64e3c8f85ea827dd3e17f786b6decdb91e3511104418b68,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_3407
compact_dnn,P50-noFT,8192,float32,0.9932159861094995,0.9946476024486547,0.9924070777369406,0.0011272108704117878,0.0072159751526534865,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_8192\metrics.json,c008da579c84c462d698a8e1a03623114413aaa2c3ec01c85f0728df68e53659,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_8192
compact_dnn,P50-FP32-FT,42,float32,0.9987373274834357,0.9992657263660717,0.9974654478669489,0.0027462955751850204,0.000516297940499677,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_42\metrics.json,3057dc28407df3122de51f681f2219c3254d829badfa9eeeacfc039b5d4184ed,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_42
compact_dnn,P50-FP32-FT,123,float32,0.9987441207808313,0.999281864248136,0.9975275889206182,0.0028692640337752984,0.0004065338114170869,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_123\metrics.json,ffe38ac13b592843693833eb1c8ac77f533f811b909730db4af1f64fb978b089,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_123
compact_dnn,P50-FP32-FT,2026,float32,0.9990314273041191,0.999440553421769,0.9976290739750319,0.0029922324923656873,0.00021546292005103496,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_2026\metrics.json,a3414b8d65d2903f80baca7c932753b3d65340e28c442f8ace398962f5040e6a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_2026
compact_dnn,P50-FP32-FT,3407,float32,0.9986883276417272,0.999263036719061,0.9970923165458777,0.002971737749267289,0.0004105991495312322,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_3407\metrics.json,0be29ede121ef5565a990a0cba6ca4767d5b6cdc067c5f0ea4b52b7af340baa6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_3407
compact_dnn,P50-FP32-FT,8192,float32,0.9987337662271307,0.999281864248136,0.9973728749803725,0.0028897587768736965,0.00038214178273210386,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_8192\metrics.json,6f53e11cd7af919f47c96d6b10146821b29173ea9a6b4efbdad6ce3a52516f9e,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50\seed_8192
compact_dnn,DQ,42,dynamic_int8,0.8906515122783555,0.9319653788636779,0.8641916035306374,0.3710573237964462,0.002052995747656383,25283,25056,0.30701073785645183,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_42\metrics.json,0c6c80d456c88d2cc40b6bbd8723c154c28a7f65d1bf56fb472a230e82162015,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_42
compact_dnn,DQ,123,dynamic_int8,0.8846472958800714,0.9294263520855522,0.8565621677219656,0.3939499518373537,0.0021627598767389733,25283,25056,0.30701073785645183,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_123\metrics.json,6dab6cb451e8bacf7943e19af01ef8831d082177a8934861cdc6bbd3e0821d24,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_123
compact_dnn,DQ,2026,dynamic_int8,0.9063863154973943,0.9422156236215559,0.8805222978974644,0.339884819543787,0.0006382580839248142,25283,25056,0.30701073785645183,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_2026\metrics.json,fbdf24f7397166f4e0ceadd36e777af734385d5061e3148b54ceda487126387c,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_2026
compact_dnn,DQ,3407,dynamic_int8,0.9194765404691835,0.9465540242498575,0.8990904318628936,0.2695468612300945,0.00047564455935800165,25283,25056,0.30701073785645183,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_3407\metrics.json,4236ec0f3b3567a689180a2f7b10e97ce7d4791177d74a669428750c33ee6e05,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_3407
compact_dnn,DQ,8192,dynamic_int8,0.9258648629482226,0.9499026347782117,0.9078729791719408,0.24232984239542554,0.0005691473359838994,25283,25056,0.30701073785645183,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_8192\metrics.json,ed07a1dfbe9580fbd5b17452dd19fa11ad0c6ea9717362948c6a6c6737f197bb,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_8192
compact_dnn,QAT,42,static_int8,0.9980755236956025,0.9988084863742482,0.9966441087640473,0.004590822454040522,0.0008740476945467979,25283,25056,0.3668017280190044,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_42\metrics.json,2a2beb659e6f8b70b6bb803d691d95777af2d1aa830523f58f15c7e34cdb2c9a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_42
compact_dnn,QAT,123,static_int8,0.9980783159301746,0.9988165553152805,0.9971791879944404,0.0031356956940544745,0.00113829467196791,25283,25056,0.3668017280190044,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_123\metrics.json,01b639564dbf00def2f2726aee06a0c953b63bc271311b6b039212434e18cf3f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_123
compact_dnn,QAT,2026,static_int8,0.9985024532289648,0.9990693821342886,0.9977587773999574,0.002295411227020261,0.0009309624281451656,25283,25056,0.3668017280190044,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_2026\metrics.json,5c12475a228b811f29976c0a660523b58f13af1d9750fe6f50fe945c83d2004c,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_2026
compact_dnn,QAT,3407,static_int8,0.9971715239986688,0.9982086950908563,0.9965518746156571,0.004016969647285484,0.001894447561203716,25283,25056,0.3668017280190044,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_3407\metrics.json,14db470d894914ac795ba1fe6688fbe8a62cc657f1d667614a71af8bd4d022c7,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_3407
compact_dnn,QAT,8192,static_int8,0.9986237817541056,0.9991527611916212,0.9976015738937941,0.002807779804480104,0.0007114341699798743,25283,25056,0.3668017280190044,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_8192\metrics.json,5a2536616ef550903ff73a35510e28a71e174fe1c771b9bc11d34db91f0ee119,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\qat\seed_8192
compact_dnn,P25-QAT,42,static_int8,0.9981586587477306,0.9988757275495164,0.9968304594351799,0.00438587502305654,0.0008008716084916268,17043,16872,0.40577054866365503,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_42\metrics.json,d0ba1eea19ec7df67d867999128b8e2ef0310757449f64068dacdc1055c51c4d,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_42
compact_dnn,P25-QAT,123,static_int8,0.9982018735424748,0.9989053136666344,0.9971252102144668,0.0037505379870063082,0.0008496556658617038,17043,16872,0.40577054866365503,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_123\metrics.json,c59f33f004d5b8edf4b23d6424e3269a4cfb53f35b0258d44ca5d142e5af88e7,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_123
compact_dnn,P25-QAT,2026,static_int8,0.9982985318562236,0.998948348018806,0.997219442528562,0.0032381694095464653,0.0009350277662593109,17043,16872,0.40577054866365503,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_2026\metrics.json,f96125f7c518e919e8a3e8d73dc0f529e409d9aba8c741e9991736e46ac40987,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_2026
compact_dnn,P25-QAT,3407,static_int8,0.9983578343614036,0.9990155891940742,0.996814166531366,0.004590822454040522,0.0005528859835272071,17043,16872,0.40577054866365503,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_3407\metrics.json,f3606e5273823252555b122329e4ece031a5d2cacc5f35ae05656d4daf44336f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_3407
compact_dnn,P25-QAT,8192,static_int8,0.998118725469589,0.9988326931973448,0.9970654237586873,0.003607074785317521,0.0010244652047710634,17043,16872,0.40577054866365503,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_8192\metrics.json,5e1c49898f823debdd8ac27fde6a2ee6de006b0a0555ee9a33a827f7f1e07904,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_8192
compact_dnn,P50-QAT,42,static_int8,0.9977818851523619,0.9986363489655617,0.9958842272103438,0.006763265222470394,0.0006870421412948913,10083,9968,0.48051471431520515,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_qat\seed_42\metrics.json,22cdfda4759e82976dd1354f7ef7ef82c83f41709584bb3a7e38184f62bbb85e,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_qat\seed_42
compact_dnn,P50-QAT,123,static_int8,0.9971487561590487,0.9982382812079743,0.9958266391392706,0.006783759965568792,0.00121147075802297,10083,9968,0.48051471431520515,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_qat\seed_123\metrics.json,96bf631eff77d8208453f7f0bfce97803ce187e424263cc88a8bfaa5ea44004f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_qat\seed_123
