endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-noFT,5,0.04043199999999997,0.04315999999999994,0.008840926761375177,0.0276,0.053514999999999986
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-FP32-FT,5,0.039512999999999986,0.0291,0.01649283984036709,0.0247,0.06721499999999998
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,DQ,5,0.1631849999999999,0.16388499999999984,0.0070580535560449895,0.150635,0.17027499999999993
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,QAT,5,0.15676099999999998,0.16364499999999996,0.023496726027257497,0.12004499999999996,0.18983499999999998
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-QAT,5,0.14159799999999986,0.14270499999999972,0.006119680220403692,0.13394499999999987,0.15103999999999995
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-QAT,5,0.15941599999999992,0.15564999999999996,0.02315862849997808,0.12342499999999998,0.19284999999999977
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,PTQ,5,0.15305299999999988,0.14014499999999996,0.024481875867669787,0.12940999999999997,0.18546999999999939
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,5,0.043141,0.039305,0.006612511928155586,0.0356,0.05150999999999999
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,FP32-FT,5,0.039714999999999986,0.034804999999999996,0.00982014103768371,0.034409999999999996,0.059339999999999955
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P25-noFT,5,0.032827999999999996,0.032305,0.0021271450350175965,0.030214999999999995,0.0367
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P25-FP32-FT,5,0.038659999999999986,0.03581499999999999,0.006699315636690066,0.032539999999999986,0.051609999999999996
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P50-noFT,5,0.030093999999999992,0.028734999999999986,0.00289936096407467,0.0264,0.03471
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P50-FP32-FT,5,0.03266599999999999,0.02862499999999999,0.008433348326732391,0.02806499999999998,0.04952499999999999
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,DQ,5,0.24567699999999987,0.2476699999999995,0.026793012633893953,0.1974649999999999,0.27619499999999997
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,QAT,5,0.2392419999999998,0.24011999999999992,0.025040802423245218,0.20901,0.27579499999999985
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P25-QAT,5,0.2712769999999998,0.2678099999999998,0.035593114727430035,0.23111999999999996,0.3357549999999998
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,P50-QAT,5,0.2566699999999998,0.2592149999999998,0.021103184119937966,0.21921499999999994,0.281275
exploratory,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,PTQ,5,0.2534159999999999,0.25650999999999996,0.027840476720056347,0.211635,0.2936349999999999
