architecture,variant,candidate_role,representation,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,mean_test_raw_weighted_macro_f1,mean_macro_f1_loss_vs_architecture_B0,worst_seed_macro_f1_loss_vs_architecture_B0,mean_raw_weighted_macro_f1_loss_vs_architecture_B0,fragility_triggered_in_any_run,mean_serialized_state_dict_bytes,state_size_ratio_vs_architecture_B0,state_size_reduction_fraction_vs_architecture_B0,mean_batch_1_median_ms,batch_1_latency_ratio_vs_architecture_B0,batch_1_latency_reduction_fraction_vs_architecture_B0,mean_batch_32_samples_per_second,batch_32_throughput_ratio_vs_architecture_B0,batch_32_throughput_gain_fraction_vs_architecture_B0,mean_peak_inference_RSS_delta_bytes,macro_f1_mean_improvement_effect_vs_B0,macro_f1_exact_two_sided_p_raw,macro_f1_Holm_adjusted_p,macro_f1_rank_biserial_improvement,decision_computation_performed
tinyml_mlp,PTQ,compressed_candidate,static_int8,0.9938503114007465,0.006775609061374789,0.9899852269090379,0.005398274526789315,0.01877515674443231,0.008100539039438859,False,18407.0,0.4470648240351687,0.5529351759648313,0.10937,3.853770260747005,-2.853770260747005,167364.55012861296,0.18572430568091372,-0.8142756943190863,5328076.8,-0.0053982745267894035,0.0625,0.625,-1.0,False
compact_dnn,B0,baseline_reference,float32,0.9992438134447982,8.376242610717102e-05,0.9979943971621758,0.0,0.0,0.0,False,104397.0,1.0,0.0,0.039299999999999995,1.0,0.0,547202.1636133095,1.0,0.0,2180710.4,0.0,1.0,1.0,0.0,False
compact_dnn,FP32-FT,uncompressed_control,float32,0.999259629566686,9.891450273405765e-05,0.9980194688122846,-1.581612188783499e-05,3.726443534168844e-05,-2.507165010889878e-05,False,104397.0,1.0,0.0,0.04038,1.0274809160305345,-0.027480916030534486,534397.3785229261,0.976599534976561,-0.023400465023438954,2146304.0,1.5816121888057033e-05,0.3125,0.625,0.6,False
compact_dnn,P25-noFT,compressed_candidate,float32,0.9988139070020772,0.000270457834175565,0.9981630797020726,0.0004299064427210064,0.0007345232194437834,-0.00016868253989688053,False,71501.0,0.6848951598226003,0.3151048401773997,0.04132,1.0513994910941478,-0.051399491094147765,581034.4864529131,1.0618278308992797,0.06182783089927968,1384448.0,-0.0004299064427210064,0.0625,0.625,-1.0,False
compact_dnn,P25-FP32-FT,compressed_candidate,float32,0.9991604849327598,6.135600013398436e-05,0.9978222894789802,8.33285120384053e-05,0.0001499886913720605,0.0001721076831955326,False,71501.0,0.6848951598226003,0.3151048401773997,0.0407,1.0356234096692114,-0.0356234096692114,588555.9458143262,1.075573133570868,0.07557313357086803,1359872.0,-8.332851203847191e-05,0.0625,0.625,-1.0,False
compact_dnn,P50-noFT,compressed_candidate,float32,0.9182295452182796,0.12280349164359775,0.9461712357064658,0.08101426822651858,0.3215203724946807,0.051823161455709976,True,43597.0,0.41760778566433904,0.582392214335661,0.04007,1.0195928753180663,-0.019592875318066305,656150.7296020035,1.1991011242888368,0.19910112428883675,1354137.6,-0.08101426822651847,0.0625,0.625,-1.0,False
compact_dnn,P50-FP32-FT,compressed_candidate,float32,0.998786993887449,0.00012379076056917145,0.9974174604577698,0.00045681955734921953,0.0005996951923764593,0.0005769367044059504,False,43597.0,0.41760778566433904,0.582392214335661,0.03866000000000001,0.9837150127226466,0.01628498727735339,680229.5377788424,1.2431046202140734,0.24310462021407342,1372979.2,-0.00045681955734928615,0.0625,0.625,-1.0,False
compact_dnn,DQ,compressed_candidate,dynamic_int8,0.9054053054146456,0.015913044353348425,0.8816478960369803,0.09383850803015259,0.11447202836193981,0.1163465011251954,False,32051.0,0.30701073785645183,0.6929892621435482,0.16024,4.07735368956743,-3.0773536895674303,129247.62388063656,0.23619720913964035,-0.7638027908603596,7186022.4,-0.09383850803015263,0.0625,0.625,-1.0,False
compact_dnn,QAT,compressed_candidate,static_int8,0.9980903197215032,0.0005097027294194836,0.9971471045335791,0.001153493723294985,0.0020880175654773847,0.0008472926285966187,False,38293.0,0.3668017280190044,0.6331982719809957,0.13618999999999998,3.4653944020356233,-2.4653944020356233,124785.87654495964,0.228043463353595,-0.771956536646405,6545408.0,-0.0011534937232948294,0.0625,0.625,-1.0,False
compact_dnn,P25-QAT,compressed_candidate,static_int8,0.9982271247954844,8.861105831029475e-05,0.9970109404936525,0.0010166886493138128,0.0012147359499181665,0.000983456668523286,False,29013.0,0.2779102847782982,0.7220897152217018,0.13628,3.467684478371502,-2.467684478371502,131572.78763373004,0.24044639510363555,-0.7595536048963645,6166937.6,-0.0010166886493137683,0.0625,0.625,-1.0,False
compact_dnn,P50-QAT,compressed_candidate,static_int8,0.9976074501406412,0.0002895179318035198,0.9961596111751702,0.0016363633041569514,0.001970568082962476,0.0018347859870055938,False,20949.0,0.2006666858243053,0.7993333141756946,0.14221,3.6185750636132323,-2.6185750636132323,130032.86360280805,0.2376322175778131,-0.7623677824221868,5808947.2,-0.0016363633041568183,0.0625,0.625,-1.0,False
